epoch,train_loss,train_mae,train_corr,train_freq,train_hr,val_loss,val_mae,val_mape,val_pearson_r,val_hr_mae,ensemble_hr_mae,lr
1,1690710572.6666667,66.22098509470622,-0.0031937880460948995,5635700315.0,1776.9291254679363,835540105.2232143,66.33676719665527,102.67060198102679,0.21390298815507214,42.16646303449358,42.170042537274625,0.0014152527341045155
2,916384363.3333334,65.85107501347859,0.003728034246402482,3054612956.0,1775.4579772949219,710781211.3571428,66.20217977251325,151.12398147583008,0.2985851575194402,42.14640808105469,42.14992027419889,0.003830311596627645
3,833394745.6666666,64.81045246124268,0.013764609786449,2777980998.0,1769.1427637736003,642494835.4285715,64.45184298924038,189.89907564435686,0.1501507442605306,41.98559842790876,41.988695809077996,0.004999992654898434
4,778773442.5416666,62.91801945368449,0.0038019147129186117,2595909996.5,1719.1244532267253,429130348.71428573,63.4225698198591,221.7053669520787,0.2301942330390694,40.97969082423619,40.97572528257548,0.00498238512712475
5,624662661.8333334,61.720982789993286,-0.009006904816487804,2082207590.0,1457.130714416504,359508785.35714287,61.652234758649556,231.1970340183803,0.21514893020608597,34.64394678388323,34.62934247132774,0.004931207734231234
6,638849419.75,60.846488078435264,-0.022242974625745166,2129497325.0,691.2582883834839,406058234.21428573,60.19171306065151,240.8199348449707,0.1855033513125194,13.703785164015633,13.592777715665157,0.004847152562662776
7,667487602.9166666,59.84763844807943,-0.025466909573879093,2224958311.6666665,157.82539176940918,351224541.03571427,59.110189982822966,260.076290675572,0.16843745647352232,2.0116641351154874,1.9884057089547131,0.004731356314419549
8,641833600.8333334,59.304981311162315,-0.025174789741868153,2139445003.1666667,123.38792435328166,368226650.3035714,58.804588317871094,237.24226433890206,0.16928317769955434,4.182984386171613,4.13438151707159,0.004585384935112445
9,652809796.4583334,59.000817696253456,-0.03504606347026614,2176032326.5833335,126.77743331591289,346757922.9464286,58.99812316894531,261.83547646658764,0.1944901223943372,3.4324962411608015,3.365214944999909,0.004411212437235042
10,606470639.25,58.13190404574076,-0.030980349227320403,2021568459.8333333,134.19586658477783,377013143.0,58.423462459019255,255.63545281546456,0.16454023148127345,5.48230641228812,5.408602598671601,0.004211194205031017
11,624926367.4166666,57.699283281962074,-0.03476122506738951,2083087549.0,124.86272025108337,319518839.8214286,58.03468758719308,270.40877369471957,0.20078109673261366,5.613801717758179,5.453480479873229,0.00398803514196288
12,575587177.8333334,57.34095541636149,-0.03814650963370999,1918623595.6666667,108.60827922821045,377603490.71428573,57.08785629272461,283.6347214835031,0.17276275020795767,2.988131046295166,2.8984899788259346,0.003744753091532847
13,591737333.1666666,56.86358141899109,-0.03924750391161069,1972457462.0,110.48263430595398,314689133.33928573,57.24650246756418,288.1388816833496,0.1788324248005133,5.189920050757272,5.055411044682298,0.0034846380261265475
14,539797373.0416666,56.77933597564697,-0.04059867961526228,1799324267.8333333,104.6421890258789,334395410.28571427,56.58614839826311,277.704598563058,0.17760365731550268,3.177466171128409,3.1565201661297095,0.0032112075557803993
15,560260444.5833334,56.37547508875529,-0.04047560088414078,1867534544.1666667,97.8526562054952,311279275.14285713,56.8122569492885,296.1150093078613,0.16289830068840522,4.54848895754133,4.467523699608918,0.002928159358540268
16,604818216.7083334,55.91871555646261,-0.04516910652940472,2016060434.1666667,87.19105811913808,325615692.41071427,55.749274662562776,289.9451697213309,0.18100529362841472,1.1890634894371033,1.187192007760021,0.002639321175709204
17,609894338.4583334,56.41714914639791,-0.043714373120261975,2032980825.8333333,103.98430597782135,313115721.33928573,56.72995104108538,287.774048941476,0.16281037095937947,4.6327164854322165,4.52870374305226,0.002348599048212751
18,569482057.5,55.90626994768778,-0.048061483966497086,1898273212.3333333,104.755007147789,322484068.2589286,55.48366928100586,304.2425084795271,0.1689054523021699,2.411884835788182,2.365976173186971,0.0020599244940961727
19,541364454.375,55.62803244590759,-0.048082658041190975,1804547880.6666667,103.2430632909139,313836370.6964286,55.9583740234375,291.04369463239397,0.17458626997722007,6.245114530835833,6.173918608193086,0.0017772013414873499
20,542733113.8125,55.69669461250305,-0.05064193476573564,1809110108.0833333,96.75036497910817,316753245.1785714,56.00775337219238,290.2656397138323,0.15214091640085964,5.468100479670933,5.398100915356217,0.0015042529360183043
21,522427828.5,55.45212801297506,-0.04807892175449524,1741425783.8333333,99.21404735247295,305349449.83928573,55.39729445321219,302.1245209830148,0.15823264723592922,3.3175182342529297,3.283628232011171,0.0012447704366344127
22,589183076.5,55.6575296719869,-0.05274218615765373,1963943274.0,95.13649574915569,311651154.03571427,55.639525277274,293.52754647391185,0.15151912753243998,3.2522106851850237,3.2118964507201007,0.0010022628990017973
23,563154782.25,55.391783793767296,-0.05524287533868725,1877182308.0,96.56909008820851,305286674.89285713,55.34644535609654,298.7509002685547,0.15750303872182445,2.8295769350869313,2.7994509188928336,0.0007800098215491653
24,496609813.75,55.0988233089447,-0.050548410014016554,1655365764.6666667,102.08340326944987,310813281.0535714,55.260514395577566,297.9897324698312,0.1623858986330731,2.838764633451189,2.80954264703198,0.0005810167958774911
25,534771096.4583333,55.390711307525635,-0.050452791018566735,1782570066.1666667,89.83566510677338,314361111.125,55.44682230268206,301.32658876691545,0.1612904817909125,2.9548383951187134,2.910266769266574,0.0004079748612896549
26,514768980.625,55.28989028930664,-0.05258033127756789,1715896311.0,87.36502383152644,306565155.5,55.23763384137835,302.37901251656666,0.1580553017063441,2.857960445540292,2.8223449849636757,0.0002632241131003071
27,510061949.8333333,55.07606760660807,-0.054574021332276366,1700206234.8333333,95.35022646188736,304796807.0535714,55.11733273097447,304.9766404288156,0.1571165519082249,2.732061965124948,2.694994632328782,0.00014872205686113126
28,558674349.5,55.12532917658488,-0.0493803204735741,1862247539.8333333,90.28316400448482,304065256.58928573,55.13319206237793,303.9741690499442,0.1580737689106412,2.7118536233901978,2.675166014198945,6.6017136456332e-05
29,527931424.125,55.111855705579124,-0.05157165109994821,1759771134.0,90.79546229044597,303818449.33928573,55.15056201389858,305.19580841064453,0.15826439066937462,2.753762023789542,2.7180700926023107,1.622779405542389e-05
30,577397177.1666666,55.123397509256996,-0.05338520302514856,1924656965.0,94.37460895379384,303757324.48214287,55.10755811418806,305.12123925345287,0.15827126779657277,2.644769855907985,2.6092049785863574,2.7345101566277107e-08
